Atomtypes,Cuttoff,Ncliques,Distance,Median(Score),LDA,SUC,SAM,LLP,U5P,1PE,GSH,PMP,PLM,BOG,Mean,Percent
ACC_DON,2.5,5,6,SrelScore05,0.5611882716,0.6797839506,0.724845679,0.9273919753,0.6554783951,0.3853395062,0.9270833333,0.8416666667,0.4449845679,0.5040895062,0.6651851852,0.001010101
ACC_DON,2.5,5,6,Srel,0.5683641975,0.6699074074,0.7109567901,0.9374228395,0.6733796296,0.3816358025,0.9324074074,0.8257716049,0.449691358,0.500617284,0.6650154321,0.001010101
ACC_DON,2.5,5,6,Tanimoto,0.5683641975,0.6699074074,0.7109567901,0.9374228395,0.6733796296,0.3816358025,0.9324074074,0.8257716049,0.449691358,0.500617284,0.6650154321,0.001010101
CA_ACC_DON_GRE,3,5,6,SO,0.593287037,0.5477623457,0.650617284,0.7705246914,0.6956018519,0.5732253086,0.8982253086,0.9240740741,0.6390432099,0.3515432099,0.6643904321,0
ACC_DON,3.5,5,6,SrelScore08,0.4509259259,0.7131944444,0.6984567901,0.9432098765,0.686882716,0.4084104938,0.9227623457,0.8260030864,0.4377314815,0.5547067901,0.6642283951,0.001010101
CA_GRE,1.5,5,6,SrelScore08,0.6911265432,0.6356481481,0.6386574074,0.6786265432,0.4945987654,0.6672067901,0.705632716,0.956558642,0.5925154321,0.574537037,0.6635108025,0
CA_ACC_DON_GRE,3.5,5,6,SOScore08,0.6347993827,0.5599537037,0.6563271605,0.7155092593,0.694367284,0.5944444444,0.9082561728,0.8962962963,0.6176697531,0.3455246914,0.6623148148,0
ACC_DON,3.5,5,6,Srel,0.4520061728,0.7022376543,0.6917438272,0.9420524691,0.6901234568,0.4108024691,0.9195216049,0.8130401235,0.4366512346,0.5596450617,0.6617824074,0.001010101
ACC_DON,3.5,5,6,Tanimoto,0.4520061728,0.7022376543,0.6917438272,0.9420524691,0.6901234568,0.4108024691,0.9195216049,0.8130401235,0.4366512346,0.5596450617,0.6617824074,0.001010101
ACC_DON,3.5,5,6,SrelScore05,0.4489969136,0.6744598765,0.7034722222,0.9459876543,0.6486882716,0.425,0.9229938272,0.8335648148,0.4417438272,0.5589506173,0.6603858025,0.001010101
CA_ACC_DON_GRE,3.5,5,6,SO,0.6355709877,0.5436728395,0.6488425926,0.7101080247,0.6971450617,0.5939814815,0.9037808642,0.8930555556,0.6097222222,0.3604166667,0.6596296296,0
CA_GRE,3,5,6,SOScore05,0.762808642,0.4763888889,0.6715277778,0.7457561728,0.6201388889,0.6201388889,0.7509259259,0.8801697531,0.5707561728,0.4763117284,0.657492284,0
ACC_DON,3,5,6,SrelScore08,0.4903549383,0.6895061728,0.6919753086,0.9557098765,0.6657407407,0.3908950617,0.9273148148,0.8335648148,0.4290895062,0.487962963,0.6562114198,0.001010101
CA_GRE,2.5,5,6,SOScore05,0.7354166667,0.5052469136,0.6807098765,0.7488425926,0.6280864198,0.6047067901,0.6979938272,0.906712963,0.5622685185,0.4918209877,0.6561805556,0
CA_GRE,1.5,5,6,Srel,0.7006944444,0.6328703704,0.6283950617,0.6726851852,0.4834104938,0.6621141975,0.6838734568,0.9512345679,0.5561728395,0.574691358,0.6546141975,0
CA_GRE,1.5,5,6,Tanimoto,0.7006944444,0.6328703704,0.6283950617,0.6726851852,0.4834104938,0.6621141975,0.6838734568,0.9512345679,0.5561728395,0.574691358,0.6546141975,0
ACC_DON,3,5,6,Srel,0.4874228395,0.6907407407,0.6865740741,0.9553240741,0.6657407407,0.3816358025,0.9262345679,0.8224537037,0.4202932099,0.5046296296,0.6541049383,0.001010101
ACC_DON,3,5,6,Tanimoto,0.4874228395,0.6907407407,0.6865740741,0.9553240741,0.6657407407,0.3816358025,0.9262345679,0.8224537037,0.4202932099,0.5046296296,0.6541049383,0.001010101
ACC_DON,3,5,6,SrelScore05,0.4732253086,0.6733024691,0.6935185185,0.9492283951,0.6602623457,0.4204475309,0.919367284,0.8322530864,0.4570216049,0.456712963,0.6535339506,0.001010101
ACC_DON_GRE,1.5,5,6,GO,0.5807098765,0.5828703704,0.7082561728,0.6729938272,0.5272376543,0.6219907407,0.7719135802,0.794367284,0.6953703704,0.5573302469,0.6513040123,0
ACC_DON_GRE,2,5,6,GO,0.575617284,0.5976851852,0.6860339506,0.7452932099,0.5293209877,0.5524691358,0.819212963,0.8183641975,0.6964506173,0.4527777778,0.6473225309,0
CA_ACC_DON_GRE,3.5,5,6,RMSD,0.5081790123,0.5739969136,0.6789351852,0.7883487654,0.5445216049,0.5043209877,0.8258487654,0.9261574074,0.4955246914,0.6047839506,0.6450617284,0
ACC_DON_GRE,3,5,6,GO,0.6253858025,0.5867283951,0.6520061728,0.7649691358,0.5046296296,0.518595679,0.693441358,0.8402006173,0.7273919753,0.5361111111,0.6449459877,0
CA_ACC_DON,3,5,6,RMSD,0.7670524691,0.4284722222,0.6668981481,0.5967592593,0.4515432099,0.7047839506,0.711882716,0.8666666667,0.5895833333,0.6539351852,0.643757716,0
CA_ACC_DON,3.5,5,6,RMSD,0.805787037,0.4577160494,0.6310185185,0.6584104938,0.4699074074,0.6300154321,0.725154321,0.862962963,0.5698302469,0.6236111111,0.643441358,0
CA_GRE,3.5,5,6,SOScore05,0.7229938272,0.4547839506,0.6643518519,0.7017746914,0.6223765432,0.6054012346,0.7037808642,0.8792438272,0.5833333333,0.4671296296,0.6405169753,0
CA_GRE,3.5,5,6,GO,0.5834104938,0.5625,0.6529320988,0.6606481481,0.5541666667,0.5087191358,0.8032407407,0.8031635802,0.7319444444,0.5300925926,0.6390817901,0
CA_GRE,2.5,5,6,GO,0.5838734568,0.5114969136,0.6252314815,0.6986111111,0.6154320988,0.5043981481,0.7820987654,0.8091820988,0.7407407407,0.5153549383,0.6386419753,0
CA_GRE,2.5,5,6,SOScore08,0.7397376543,0.4861111111,0.6763117284,0.7222222222,0.5905092593,0.6038580247,0.6729938272,0.8962962963,0.5407407407,0.4518518519,0.6380632716,0
ACC_DON_GRE,1.5,5,6,SOScore05,0.5708333333,0.7148148148,0.6456790123,0.7090277778,0.6137345679,0.4715277778,0.8648148148,0.9038580247,0.5159722222,0.3601080247,0.637037037,0
CA_ACC_DON,2.5,5,6,RMSD,0.8118055556,0.4976080247,0.6459104938,0.5077160494,0.4926697531,0.7416666667,0.6777777778,0.7920524691,0.5977623457,0.5932098765,0.6358179012,0
CA_GRE,3,5,6,GO,0.6128858025,0.5366512346,0.6657407407,0.6947530864,0.5845679012,0.4688271605,0.7970679012,0.7918981481,0.7011574074,0.5027777778,0.635632716,0
CA_GRE,3,5,6,SOScore08,0.7537037037,0.4648148148,0.6564814815,0.7034722222,0.6108796296,0.637191358,0.6845679012,0.8699074074,0.5175154321,0.4497685185,0.6348302469,0
CA_GRE,2,5,6,SOScore05,0.7133487654,0.5020833333,0.6694444444,0.6653549383,0.6165895062,0.5463734568,0.6895833333,0.9019290123,0.5736111111,0.4432098765,0.6321527778,0
ACC_DON_GRE,3.5,5,6,GO,0.612191358,0.5536265432,0.6271604938,0.7763117284,0.4789351852,0.5358024691,0.6908950617,0.8344907407,0.6908950617,0.5078703704,0.6308179012,0
CA_GRE,2.5,5,6,SO,0.7348765432,0.4966049383,0.6685185185,0.7087962963,0.5849537037,0.6007716049,0.6608024691,0.8866512346,0.5135802469,0.4392746914,0.6294830247,0
CA_ACC_DON_GRE,3,5,6,GO,0.5737654321,0.6357253086,0.6388117284,0.6553240741,0.4962191358,0.5537037037,0.7928240741,0.7454475309,0.7183641975,0.4787808642,0.6288966049,0
