Mode Resolución Alpha ROC PR
Annotation 0.2 0.30000000000000004 0.8514486120652387 0.15466831313906576
Annotation 0.2 0.4 0.8158587413119303 0.13964581103342746
Annotation 0.2 0.5 0.7584897729404148 0.11781184481133442
Annotation 0.2 0.6000000000000001 0.6867440572520673 0.08931042680677351
Annotation 0.2 0.7000000000000001 0.6160887990142057 0.06110542631151865
Annotation 0.2 0.8 0.5453476383359485 0.05676796571303053
Annotation 0.2 0.9 0.545092088954601 0.056765704280027716
Annotation 0.2 1.0 0.3715609341336988 0.007446986478359003
Annotation 0.3 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.3 0.1 0.8797754981785398 0.17118940368337748
Annotation 0.3 0.2 0.870786183779673 0.16677185222109514
Annotation 0.3 0.30000000000000004 0.8522012607426597 0.1581477329325799
Annotation 0.3 0.4 0.817808638120323 0.14551070480680073
Annotation 0.3 0.5 0.7631397183393573 0.12671357654520551
Annotation 0.3 0.6000000000000001 0.6957804115520666 0.1020947140591352
Annotation 0.3 0.7000000000000001 0.6309254594380664 0.07743030030528583
Annotation 0.3 0.8 0.5688504907275218 0.07367479269177898
Annotation 0.3 0.9 0.5686485903302575 0.07367285189979755
Annotation 0.3 1.0 0.3903821444613258 0.007501856911151954
Annotation 0.4 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.4 0.1 0.8807478066050551 0.17167137273271935
Annotation 0.4 0.2 0.8731114559412317 0.1689175253628056
Annotation 0.4 0.30000000000000004 0.8566616121271202 0.162203112911752
Annotation 0.4 0.4 0.8259823232744062 0.15229135056524717
Annotation 0.4 0.5 0.7774917964146546 0.13754569161906866
Annotation 0.4 0.6000000000000001 0.7180200253848827 0.11795583647293588
Annotation 0.4 0.7000000000000001 0.66170873230481 0.09763662285790305
Annotation 0.4 0.8 0.6103425967699385 0.09459238712783709
Annotation 0.4 0.9 0.6102069992609845 0.09459093815280725
Annotation 0.4 1.0 0.4215671053535742 0.007703024353914624
Annotation 0.5 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.5 0.1 0.880976894354958 0.17176329741830343
Annotation 0.5 0.2 0.8738760390767935 0.16977459676780549
Annotation 0.5 0.30000000000000004 0.8586756721116783 0.1644551839993712
Annotation 0.5 0.4 0.830811283951783 0.15686673902368298
Annotation 0.5 0.5 0.7875012463185772 0.14522465397718948
Annotation 0.5 0.6000000000000001 0.7351094760929355 0.13069690048419452
Annotation 0.5 0.7000000000000001 0.6856740044599542 0.11561857683788951
Annotation 0.5 0.8 0.644281198611443 0.11316644698766251
Annotation 0.5 0.9 0.6441405413735282 0.11316492521341406
Annotation 0.5 1.0 0.4407111152431202 0.007880700786154143
Annotation 0.6 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.6 0.1 0.8821677647353248 0.17279374325573427
Annotation 0.6 0.2 0.876961933834664 0.1718283208569925
Annotation 0.6 0.30000000000000004 0.8648818171950325 0.16801872475712482
Annotation 0.6 0.4 0.8420207151945313 0.1623187922864583
Annotation 0.6 0.5 0.8058326432980796 0.15361489225762284
Annotation 0.6 0.6000000000000001 0.7615110807033334 0.14284496766747584
Annotation 0.6 0.7000000000000001 0.719847041787848 0.13136103152483372
Annotation 0.6 0.8 0.6865990641636952 0.12962112882010446
Annotation 0.6 0.9 0.6865179348890057 0.12962024682189277
Annotation 0.6 1.0 0.4619748496150751 0.008141969603343716
Annotation 0.7 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.7 0.1 0.8823941646473993 0.173249629616248
Annotation 0.7 0.2 0.8778972918368984 0.17242510478062825
Annotation 0.7 0.30000000000000004 0.8675586545603582 0.16923488652726779
Annotation 0.7 0.4 0.8482351270351393 0.1646597791211107
Annotation 0.7 0.5 0.8178317117413982 0.15725197821659692
Annotation 0.7 0.6000000000000001 0.7797709398107688 0.1483648535690385
Annotation 0.7 0.7000000000000001 0.7422428631732643 0.13902793887577633
Annotation 0.7 0.8 0.7135427024734315 0.13757847392789063
Annotation 0.7 0.9 0.7134714017107942 0.13757771801915095
Annotation 0.7 1.0 0.4707641479916994 0.008264790279666121
Annotation 0.8 0.0 0.8834655209188432 0.17288286528111516
Annotation 0.8 0.1 0.8824302919369085 0.17304696326521252
Annotation 0.8 0.2 0.8783764184274772 0.17265743963949426
Annotation 0.8 0.30000000000000004 0.86919812905849 0.1701905953933917
Annotation 0.8 0.4 0.8522786805820151 0.16638583445396002
Annotation 0.8 0.5 0.8260456252169314 0.16033563683476706
Annotation 0.8 0.6000000000000001 0.7934983155683388 0.1532549208350008
